# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1701665634551000000,1701665694584000000,30
FlushQueue.waitingTimeAvgNs,1701665634551000000,1701665694584000000,9.70121717059175E7
FlushQueue.queueSizeMax,1701665634551000000,1701665694584000000,56
FlushQueue.waitingTimeMaxNs,1701665634551000000,1701665694584000000,1384120319
NonBlockingReadAction.failedExecutionsCount,1701665634551000000,1701665694584000000,17
NonBlockingReadAction.failedExecutionTimeUs,1701665634551000000,1701665694584000000,3514195
AWTEventQueue.dispatchTimeAvgNs,1701665634551000000,1701665694584000000,4095066.344397163
FlushQueue.executionTimeAvgNs,1701665634551000000,1701665694584000000,6182682.547519426
AWTEventQueue.dispatchTimeMaxNs,1701665634551000000,1701665694584000000,1426063359
FlushQueue.waitingTime90PNs,1701665634551000000,1701665694584000000,314572799
AWTEventQueue.eventsDispatched,1701665634551000000,1701665694584000000,3525
AWTEventQueue.dispatchTime90PNs,1701665634551000000,1701665694584000000,3981311
NonBlockingReadAction.finalizedExecutionTimeUs,1701665634551000000,1701665694584000000,2900714
FlushQueue.executionTimeMaxNs,1701665634551000000,1701665694584000000,1426063359
FlushQueue.executionTime90PNs,1701665634551000000,1701665694584000000,2605055
AWTEventQueue.dispatchTimeTotalNS,1701665634551000000,1701665694584000000,14439377900
FlushQueue.queueSize90P,1701665634551000000,1701665694584000000,24
FlushQueue.queueSizeAvg,1701665634551000000,1701665694584000000,7.260609683203826
FlushQueue.tasksExecuted,1701665634551000000,1701665694584000000,1673
workspaceModel.loading.total.ms,1701665634551000000,1701665694584000000,371
workspaceModel.replace.project.model.ms,1701665634551000000,1701665694584000000,0
workspaceModel.updates.precise.ms,1701665634551000000,1701665694584000000,38
workspaceModel.initializing.ms,1701665634551000000,1701665694584000000,3
workspaceModel.update.unloaded.entities.ms,1701665634551000000,1701665694584000000,0
workspaceModel.check.recursive.update.ms,1701665634551000000,1701665694584000000,1
workspaceModel.collect.changes.ms,1701665634551000000,1701665694584000000,0
workspaceModel.init.bridges.ms,1701665634551000000,1701665694584000000,3
workspaceModel.loading.from.cache.ms,1701665634551000000,1701665694584000000,336
workspaceModel.updates.ms,1701665634551000000,1701665694584000000,134
workspaceModel.to.snapshot.ms,1701665634551000000,1701665694584000000,2
workspaceModel.pre.handlers.ms,1701665634551000000,1701665694584000000,1
workspaceModel.updates.count,1701665634551000000,1701665694584000000,3
IndexesFlusher.totalFlushesRetried,1701665634551000000,1701665694584000000,0
Indexes.stubs.lookupDuration90PMs,1701665634551000000,1701665694584000000,0.0
Indexes.stubs.lookupDurationMaxMs,1701665634551000000,1701665694584000000,0.0
Indexes.entries.lookupDurationAvgMs,1701665634551000000,1701665694584000000,50.5
IndexesFlusher.totalContentionQuotaSpent,1701665634551000000,1701665694584000000,3
IndexesFlusher.totalFlushingTimeUs,1701665634551000000,1701665694584000000,1527780
VFSFlusher.totalContentionQuotaSpent,1701665634551000000,1701665694584000000,0
IndexesFlusher.totalFlushes,1701665634551000000,1701665694584000000,55
VFSFlusher.totalFlushesRetried,1701665634551000000,1701665694584000000,0
Indexes.entries.lookups,1701665634551000000,1701665694584000000,2.0
Indexes.stubs.lookupDurationAvgMs,1701665634551000000,1701665694584000000,0.0
Indexes.entries.lookupDurationMaxMs,1701665634551000000,1701665694584000000,101.0
Indexes.allKeys.lookupDuration90PMs,1701665634551000000,1701665694584000000,0.0
Indexes.allKeys.lookups,1701665634551000000,1701665694584000000,0.0
VFSFlusher.totalFlushes,1701665634551000000,1701665694584000000,43
Indexes.stubs.lookups,1701665634551000000,1701665694584000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1701665634551000000,1701665694584000000,0.0
Indexes.entries.lookupDuration90PMs,1701665634551000000,1701665694584000000,101.0
Indexes.allKeys.lookupDurationMaxMs,1701665634551000000,1701665694584000000,0.0
VFSFlusher.totalFlushingTimeUs,1701665634551000000,1701665694584000000,473133
workspaceModel.orphan.listener.update.ms,1701665634551000000,1701665694584000000,4
jps.app.storage.content.writer.save.component.ms,1701665634551000000,1701665694584000000,0
jps.app.storage.content.reader.load.component.ms,1701665634551000000,1701665694584000000,0
workspaceModel.load.cache.from.file.ms,1701665634551000000,1701665694584000000,332
workspaceModel.moduleManagerBridge.create.module.instance.ms,1701665634551000000,1701665694584000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1701665634551000000,1701665694584000000,0
jps.load.initial.state.ms,1701665634551000000,1701665694584000000,15
workspaceModel.mutableEntityStorage.modify.entity.ms,1701665634551000000,1701665694584000000,9
workspaceModel.mutableEntityStorage.resolve.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1701665634551000000,1701665694584000000,2
jps.reload.project.entities.ms,1701665634551000000,1701665694584000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1701665634551000000,1701665694584000000,2126
workspaceModel.moduleBridge.before.changed.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1701665634551000000,1701665694584000000,59
jps.global.get.library.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1701665634551000000,1701665694584000000,0
jps.module.iml.entities.serializer.save.entities.ms,1701665634551000000,1701665694584000000,0
jps.facet.change.listener.before.change.events.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1701665634551000000,1701665694584000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1701665634551000000,1701665694584000000,26
workspaceModel.mutableEntityStorage.remove.entity.ms,1701665634551000000,1701665694584000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1701665634551000000,1701665694584000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1701665634551000000,1701665694584000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1701665634551000000,1701665694584000000,308
jps.global.handle.changed.events.ms,1701665634551000000,1701665694584000000,0
jps.save.global.entities.ms,1701665634551000000,1701665694584000000,2
jps.load.project.to.empty.storage.ms,1701665634551000000,1701665694584000000,260
workspaceModel.global.updates.ms,1701665634551000000,1701665694584000000,0
jps.global.get.library.by.name.ms,1701665634551000000,1701665694584000000,0
workspaceModel.moduleBridge.update.option.ms,1701665634551000000,1701665694584000000,0
jps.project.serializers.load.ms,1701665634551000000,1701665694584000000,75
workspaceModel.moduleManagerBridge.get.modules.ms,1701665634551000000,1701665694584000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1701665634551000000,1701665694584000000,14
workspaceModel.global.apply.state.to.project.ms,1701665634551000000,1701665694584000000,74
workspaceModel.moduleBridge.facet.initialization.ms,1701665634551000000,1701665694584000000,1
jps.project.serializers.save.ms,1701665634551000000,1701665694584000000,3
workspaceModel.mutableEntityStorage.add.diff.ms,1701665634551000000,1701665694584000000,8
jps.library.entities.serializer.load.entities.ms,1701665634551000000,1701665694584000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1701665634551000000,1701665694584000000,177
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1701665634551000000,1701665694584000000,0
jps.module.iml.entities.serializer.load.entities.ms,1701665634551000000,1701665694584000000,26
workspaceModel.moduleManagerBridge.load.module.ms,1701665634551000000,1701665694584000000,0
jps.artifact.entities.serializer.load.entities.ms,1701665634551000000,1701665694584000000,0
jps.library.entities.serializer.save.entities.ms,1701665634551000000,1701665694584000000,0
jps.facet.change.listener.process.change.events.ms,1701665634551000000,1701665694584000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1701665634551000000,1701665694584000000,2
jps.global.handle.before.change.events.ms,1701665634551000000,1701665694584000000,0
jps.global.initialize.library.bridges.after.loading.ms,1701665634551000000,1701665694584000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1701665634551000000,1701665694584000000,15
jps.facet.change.listener.init.bridge.ms,1701665634551000000,1701665694584000000,1
jps.global.get.libraries.ms,1701665634551000000,1701665694584000000,1
workspaceModel.global.updates.count,1701665634551000000,1701665694584000000,0
jps.artifact.entities.serializer.save.entities.ms,1701665634551000000,1701665694584000000,0
jps.storage.jps.conf.reader.load.component.ms,1701665634551000000,1701665694584000000,32
jps.save.changed.project.entities.ms,1701665634551000000,1701665694584000000,3
jps.global.initialize.library.bridges.ms,1701665634551000000,1701665694584000000,0
workspaceModel.save.cache.to.file.ms,1701665634551000000,1701665694584000000,965
workspaceModel.sync.entities.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.entities.ms,1701665634551000000,1701665694584000000,3
jps.apply.loaded.storage.ms,1701665634551000000,1701665694584000000,42
StorageLockContext.competingThreads.max,1701665634551000000,1701665694584000000,0
FilePageCache.pageLoads,1701665634551000000,1701665694584000000,316
StorageLockContext.competingThreads.avg,1701665634551000000,1701665694584000000,0.0
FilePageCache.pageFastCacheHits,1701665634551000000,1701665694584000000,1860663
FilePageCache.maxRegisteredFiles,1701665634551000000,1701665694584000000,651
StreamlinedBlobStorage.recordsAllocated,1701665634551000000,1701665694584000000,690620
FilePageCache.totalPageDisposalsUs,1701665634551000000,1701665694584000000,2535
StreamlinedBlobStorage.recordsRelocated,1701665634551000000,1701665694584000000,0
FilePageCache.capacityInBytes,1701665634551000000,1701665694584000000,524288000
FilePageCache.totalPageLoadsUs,1701665634551000000,1701665694584000000,1495303
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1701665634551000000,1701665694584000000,372342784
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1701665634551000000,1701665694584000000,0
StorageLockContext.competingThreads.90P,1701665634551000000,1701665694584000000,0
DirectByteBufferAllocator.disposed,1701665634551000000,1701665694584000000,0
DirectByteBufferAllocator.hits,1701665634551000000,1701665694584000000,3
FilePageCache.disposedBuffers,1701665634551000000,1701665694584000000,3
FilePageCache.pageHits,1701665634551000000,1701665694584000000,11529
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1701665634551000000,1701665694584000000,16953968
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1701665634551000000,1701665694584000000,50142219
FilePageCache.uncachedFileAccess,1701665634551000000,1701665694584000000,155
DirectByteBufferAllocator.reclaimed,1701665634551000000,1701665694584000000,3
FilePageCache.maxCacheSizeInBytes,1701665634551000000,1701665694584000000,372342784
FilePageCache.pageLoadsAboveSizeThreshold,1701665634551000000,1701665694584000000,0
StreamlinedBlobStorage.recordsDeleted,1701665634551000000,1701665694584000000,1814
DirectByteBufferAllocator.misses,1701665634551000000,1701665694584000000,313
JVM.usedNativeBytes,1701665634551000000,1701665694584000000,304288568
JVM.GC.collections,1701665634551000000,1701665694584000000,87
JVM.GC.collectionTimesMs,1701665634551000000,1701665694584000000,885
JVM.maxHeapBytes,1701665634551000000,1701665694584000000,2147483648
JVM.usedHeapBytes,1701665634551000000,1701665694584000000,677842432
JVM.totalCpuTimeMs,1701665634551000000,1701665694584000000,97984
JVM.threadCount,1701665634551000000,1701665694584000000,137
OS.loadAverage,1701665634551000000,1701665694584000000,-1.0
JVM.maxNativeBytes,1701665634551000000,1701665694584000000,-1
FileNameCache.fastMisses,1701665634551000000,1701665694584000000,1504839
FileNameCache.totalMisses,1701665634551000000,1701665694584000000,598547
FileNameCache.queries,1701665634551000000,1701665694584000000,25102509
NonBlockingReadAction.finalizedExecutionsCount,1701665694584000000,1701665754573000000,6197
FlushQueue.waitingTimeAvgNs,1701665694584000000,1701665754573000000,9.32834985464191E7
FlushQueue.queueSizeMax,1701665694584000000,1701665754573000000,56
FlushQueue.waitingTimeMaxNs,1701665694584000000,1701665754573000000,2332033023
NonBlockingReadAction.failedExecutionsCount,1701665694584000000,1701665754573000000,17
NonBlockingReadAction.failedExecutionTimeUs,1701665694584000000,1701665754573000000,1142161
AWTEventQueue.dispatchTimeAvgNs,1701665694584000000,1701665754573000000,2458932.8466666667
FlushQueue.executionTimeAvgNs,1701665694584000000,1701665754573000000,6316527.6306366045
AWTEventQueue.dispatchTimeMaxNs,1701665694584000000,1701665754573000000,2332033023
FlushQueue.waitingTime90PNs,1701665694584000000,1701665754573000000,127926271
AWTEventQueue.eventsDispatched,1701665694584000000,1701665754573000000,4800
AWTEventQueue.dispatchTime90PNs,1701665694584000000,1701665754573000000,2342911
NonBlockingReadAction.finalizedExecutionTimeUs,1701665694584000000,1701665754573000000,46615507
FlushQueue.executionTimeMaxNs,1701665694584000000,1701665754573000000,2315255807
FlushQueue.executionTime90PNs,1701665694584000000,1701665754573000000,522239
AWTEventQueue.dispatchTimeTotalNS,1701665694584000000,1701665754573000000,11793153800
FlushQueue.queueSize90P,1701665694584000000,1701665754573000000,12
FlushQueue.queueSizeAvg,1701665694584000000,1701665754573000000,3.5583554376657824
FlushQueue.tasksExecuted,1701665694584000000,1701665754573000000,1508
workspaceModel.loading.total.ms,1701665694584000000,1701665754573000000,371
workspaceModel.replace.project.model.ms,1701665694584000000,1701665754573000000,0
workspaceModel.updates.precise.ms,1701665694584000000,1701665754573000000,38
workspaceModel.initializing.ms,1701665694584000000,1701665754573000000,3
workspaceModel.update.unloaded.entities.ms,1701665694584000000,1701665754573000000,0
workspaceModel.check.recursive.update.ms,1701665694584000000,1701665754573000000,1
workspaceModel.collect.changes.ms,1701665694584000000,1701665754573000000,0
workspaceModel.init.bridges.ms,1701665694584000000,1701665754573000000,3
workspaceModel.loading.from.cache.ms,1701665694584000000,1701665754573000000,336
workspaceModel.updates.ms,1701665694584000000,1701665754573000000,134
workspaceModel.to.snapshot.ms,1701665694584000000,1701665754573000000,2
workspaceModel.pre.handlers.ms,1701665694584000000,1701665754573000000,1
workspaceModel.updates.count,1701665694584000000,1701665754573000000,3
IndexesFlusher.totalFlushesRetried,1701665694584000000,1701665754573000000,139
Indexes.stubs.lookupDuration90PMs,1701665694584000000,1701665754573000000,0.0
Indexes.stubs.lookupDurationMaxMs,1701665694584000000,1701665754573000000,0.0
Indexes.entries.lookupDurationAvgMs,1701665694584000000,1701665754573000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1701665694584000000,1701665754573000000,1061
IndexesFlusher.totalFlushingTimeUs,1701665694584000000,1701665754573000000,2353648
VFSFlusher.totalContentionQuotaSpent,1701665694584000000,1701665754573000000,2
IndexesFlusher.totalFlushes,1701665694584000000,1701665754573000000,162
VFSFlusher.totalFlushesRetried,1701665694584000000,1701665754573000000,0
Indexes.entries.lookups,1701665694584000000,1701665754573000000,0.0
Indexes.stubs.lookupDurationAvgMs,1701665694584000000,1701665754573000000,0.0
Indexes.entries.lookupDurationMaxMs,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookupDuration90PMs,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookups,1701665694584000000,1701665754573000000,0.0
VFSFlusher.totalFlushes,1701665694584000000,1701665754573000000,26
Indexes.stubs.lookups,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1701665694584000000,1701665754573000000,0.0
Indexes.entries.lookupDuration90PMs,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1701665694584000000,1701665754573000000,0.0
VFSFlusher.totalFlushingTimeUs,1701665694584000000,1701665754573000000,765416
workspaceModel.orphan.listener.update.ms,1701665694584000000,1701665754573000000,4
jps.app.storage.content.writer.save.component.ms,1701665694584000000,1701665754573000000,0
jps.app.storage.content.reader.load.component.ms,1701665694584000000,1701665754573000000,0
workspaceModel.load.cache.from.file.ms,1701665694584000000,1701665754573000000,332
workspaceModel.moduleManagerBridge.create.module.instance.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1701665694584000000,1701665754573000000,0
jps.load.initial.state.ms,1701665694584000000,1701665754573000000,15
workspaceModel.mutableEntityStorage.modify.entity.ms,1701665694584000000,1701665754573000000,9
workspaceModel.mutableEntityStorage.resolve.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1701665694584000000,1701665754573000000,2
jps.reload.project.entities.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1701665694584000000,1701665754573000000,2126
workspaceModel.moduleBridge.before.changed.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1701665694584000000,1701665754573000000,59
jps.global.get.library.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1701665694584000000,1701665754573000000,0
jps.module.iml.entities.serializer.save.entities.ms,1701665694584000000,1701665754573000000,0
jps.facet.change.listener.before.change.events.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1701665694584000000,1701665754573000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1701665694584000000,1701665754573000000,26
workspaceModel.mutableEntityStorage.remove.entity.ms,1701665694584000000,1701665754573000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1701665694584000000,1701665754573000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1701665694584000000,1701665754573000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1701665694584000000,1701665754573000000,308
jps.global.handle.changed.events.ms,1701665694584000000,1701665754573000000,0
jps.save.global.entities.ms,1701665694584000000,1701665754573000000,3
jps.load.project.to.empty.storage.ms,1701665694584000000,1701665754573000000,260
workspaceModel.global.updates.ms,1701665694584000000,1701665754573000000,0
jps.global.get.library.by.name.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleBridge.update.option.ms,1701665694584000000,1701665754573000000,0
jps.project.serializers.load.ms,1701665694584000000,1701665754573000000,75
workspaceModel.moduleManagerBridge.get.modules.ms,1701665694584000000,1701665754573000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1701665694584000000,1701665754573000000,14
workspaceModel.global.apply.state.to.project.ms,1701665694584000000,1701665754573000000,74
workspaceModel.moduleBridge.facet.initialization.ms,1701665694584000000,1701665754573000000,1
jps.project.serializers.save.ms,1701665694584000000,1701665754573000000,3
workspaceModel.mutableEntityStorage.add.diff.ms,1701665694584000000,1701665754573000000,8
jps.library.entities.serializer.load.entities.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1701665694584000000,1701665754573000000,177
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1701665694584000000,1701665754573000000,0
jps.module.iml.entities.serializer.load.entities.ms,1701665694584000000,1701665754573000000,26
workspaceModel.moduleManagerBridge.load.module.ms,1701665694584000000,1701665754573000000,0
jps.artifact.entities.serializer.load.entities.ms,1701665694584000000,1701665754573000000,0
jps.library.entities.serializer.save.entities.ms,1701665694584000000,1701665754573000000,0
jps.facet.change.listener.process.change.events.ms,1701665694584000000,1701665754573000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1701665694584000000,1701665754573000000,2
jps.global.handle.before.change.events.ms,1701665694584000000,1701665754573000000,0
jps.global.initialize.library.bridges.after.loading.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1701665694584000000,1701665754573000000,15
jps.facet.change.listener.init.bridge.ms,1701665694584000000,1701665754573000000,1
jps.global.get.libraries.ms,1701665694584000000,1701665754573000000,1
workspaceModel.global.updates.count,1701665694584000000,1701665754573000000,0
jps.artifact.entities.serializer.save.entities.ms,1701665694584000000,1701665754573000000,0
jps.storage.jps.conf.reader.load.component.ms,1701665694584000000,1701665754573000000,32
jps.save.changed.project.entities.ms,1701665694584000000,1701665754573000000,3
jps.global.initialize.library.bridges.ms,1701665694584000000,1701665754573000000,0
workspaceModel.save.cache.to.file.ms,1701665694584000000,1701665754573000000,965
workspaceModel.sync.entities.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.entities.ms,1701665694584000000,1701665754573000000,3
jps.apply.loaded.storage.ms,1701665694584000000,1701665754573000000,42
StorageLockContext.competingThreads.max,1701665694584000000,1701665754573000000,1
FilePageCache.pageLoads,1701665694584000000,1701665754573000000,1236
StorageLockContext.competingThreads.avg,1701665694584000000,1701665754573000000,0.008620689655172414
FilePageCache.pageFastCacheHits,1701665694584000000,1701665754573000000,3934612
FilePageCache.maxRegisteredFiles,1701665694584000000,1701665754573000000,651
StreamlinedBlobStorage.recordsAllocated,1701665694584000000,1701665754573000000,92476
FilePageCache.totalPageDisposalsUs,1701665694584000000,1701665754573000000,14
StreamlinedBlobStorage.recordsRelocated,1701665694584000000,1701665754573000000,0
FilePageCache.capacityInBytes,1701665694584000000,1701665754573000000,524288000
FilePageCache.totalPageLoadsUs,1701665694584000000,1701665754573000000,310411
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1701665694584000000,1701665754573000000,441769984
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1701665694584000000,1701665754573000000,0
StorageLockContext.competingThreads.90P,1701665694584000000,1701665754573000000,0
DirectByteBufferAllocator.disposed,1701665694584000000,1701665754573000000,0
DirectByteBufferAllocator.hits,1701665694584000000,1701665754573000000,0
FilePageCache.disposedBuffers,1701665694584000000,1701665754573000000,0
FilePageCache.pageHits,1701665694584000000,1701665754573000000,996280
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1701665694584000000,1701665754573000000,1271948
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1701665694584000000,1701665754573000000,6523949
FilePageCache.uncachedFileAccess,1701665694584000000,1701665754573000000,2433
DirectByteBufferAllocator.reclaimed,1701665694584000000,1701665754573000000,0
FilePageCache.maxCacheSizeInBytes,1701665694584000000,1701665754573000000,441769984
FilePageCache.pageLoadsAboveSizeThreshold,1701665694584000000,1701665754573000000,0
StreamlinedBlobStorage.recordsDeleted,1701665694584000000,1701665754573000000,2
DirectByteBufferAllocator.misses,1701665694584000000,1701665754573000000,1236
JVM.usedNativeBytes,1701665694584000000,1701665754573000000,349702712
JVM.GC.collections,1701665694584000000,1701665754573000000,49
JVM.GC.collectionTimesMs,1701665694584000000,1701665754573000000,785
JVM.maxHeapBytes,1701665694584000000,1701665754573000000,2147483648
JVM.usedHeapBytes,1701665694584000000,1701665754573000000,503200024
JVM.totalCpuTimeMs,1701665694584000000,1701665754573000000,145344
JVM.threadCount,1701665694584000000,1701665754573000000,145
OS.loadAverage,1701665694584000000,1701665754573000000,-1.0
JVM.maxNativeBytes,1701665694584000000,1701665754573000000,-1
FileNameCache.fastMisses,1701665694584000000,1701665754573000000,23196267
FileNameCache.totalMisses,1701665694584000000,1701665754573000000,2028997
FileNameCache.queries,1701665694584000000,1701665754573000000,70397240
